           9
 3.9478417604357354E+01
 0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 6.5539573684104770E-06  9.9999998736893751E-03
 1.8562141528350901E-01 -2.7814821230110665E-01 -4.1280649520812149E-03
 1.0297944183640761E+01  4.8778163794297793E+00 -2.0676108203767343E+00
 9.6636715601426952E-05  9.9999998736893751E-03
-3.8785351105372373E-01  5.7802013238050831E-01 -2.1978420032084649E-03
-6.3994798027543158E+00 -4.2267520895963324E+00  1.7747413647644439E-01
 1.2003167407831362E-04  9.9999998736893751E-03
-7.6248751347510235E-01 -6.6140571120796676E-01  4.1310252463425581E-02
 3.8626097439361469E+00 -4.8706104926923830E+00 -1.9206510244330824E-01
 1.2740275019074827E-05  9.9999998736893751E-03
-1.9522003071113134E-01  1.5503532917903275E+00  3.6466249642978397E-03
-4.8781970707360616E+00 -8.6427370689737082E-01 -2.7827392196871292E-01
 3.7693444538248591E-02  9.9999998736893751E-03
-6.8185009002532260E-01  5.0214888526452324E+00  1.2778715064197511E-02
-2.7963479672311906E+00 -4.1472428597065314E-01  8.5687318144972227E-02
 1.1284384051552765E-02  9.9999998736893751E-03
-9.0830016863686769E+00 -2.0211339279943843E+00  1.8128257471342221E-01
 2.8285360512085767E-01 -2.0676034908659924E+00  3.2900509621998739E-02
 1.7262852597121584E-03  9.9999998736893751E-03
 8.5563925329623967E+00 -1.6810885476461312E+01  1.7787815136863014E-01
 1.3072115719896800E+00  6.4067428244559799E-01 -5.7349869463738469E-02
 2.0324556015422855E-03  9.9999998736893751E-03
 4.0608034175233634E+00  2.9705186596386969E+01 -6.1767168410457651E-01
-1.1395703934801349E+00  1.6800902451254643E-01  2.3599578146022787E-02
