full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"424482 (2008 DG5)",1.25539849771659,.2425395102142137,5.707309045237075,244.0382956614274,59.67647841022013,.9509147609567488,1.559882234476432,1.40663237592044,6494,0,232,,,19.5
"429389 (2010 PR10)",1.198123112518454,.1760235444058783,9.161985336153927,334.4791508800156,65.26790153995792,.9872252356183532,1.409020989418556,1.31147607224916,1688,0,185,,,21.6
"433953 (1997 XR2)",1.076194309681013,.2008450465397698,7.192150223654041,250.6887216333471,84.59995025601901,.8600460134672948,1.292342605894732,1.11646275426379,7014,0,418,6,2,20.7
"443104 (2013 XK22)",1.045660869071577,.203253015451193,6.99347000059547,268.365387849541,265.7292898212486,.833127144293464,1.258194593849691,1.06928749120475,959,1,99,,,24.3
"451157 (2009 SQ104)",1.284714526570333,.2795420022654815,4.018178654208873,56.54968263641624,95.63478350408548,.9255828554733121,1.643846197667354,1.45619036940125,3619,0,353,,,21.0
"451370 (2011 AK5)",1.187781039946443,.2307847134441958,5.522604078592045,316.8012597444376,325.6758296132598,.9136593330079539,1.461902746884931,1.29453198414545,1769,0,107,1,1,21.5
"452807 (2006 KV89)",1.14980663718494,.2726849920612511,3.554335639323225,71.71919024069673,87.76106102983655,.8362716234521912,1.46334165091769,1.23294986997242,3745,0,112,,,21.3
"455148 (1994 UG)",1.239140842383034,.2927504143705053,5.214344851501483,13.62923143813783,225.4313508328732,.8763818473119835,1.601899837454084,1.37939678604897,8046,0,311,,,21.1
"455415 (2003 GA)",1.281763585226422,.1914533262171804,3.842209136662731,192.9105443902748,66.81907489520809,1.036365683410766,1.52716148704208,1.45117602916085,6059,0,343,,,21.2
"459200 (2012 DK61)",1.243343056281926,.1657435060094746,6.266256880791516,336.1471280763427,301.390618110658,1.037267018961224,1.449419093602628,1.38641951305871,6575,0,169,,,21.0
"465617 (2009 EK1)",1.242095381250395,.2297221610558789,9.109724892296558,358.4749278807327,21.74830700133668,.9567585460320281,1.527432216468761,1.38433316170376,5219,0,63,,,21.4
"470975 (2009 SC15)",1.265694410167744,.1792913161680764,6.843845105805276,178.6481634611978,333.8407258563378,1.038766393502192,1.492622426833296,1.42397214973161,6195,0,265,1,1,21.4
"481543 (2007 RN7)",1.297361233222437,.1118896537705328,9.838771447240264,152.6038100664848,232.5690909089508,1.152199934021867,1.442522532423006,1.47774526703264,3494,1,78,,,21.7
"488615 (2002 SR)",1.17953185587594,.1960489323475129,6.689225835392169,160.889940936244,285.1624678620503,.9482858948615817,1.410777816890299,1.28106956617135,5274,0,59,,,21.7
"495021 (2010 SH15)",1.271186091346721,.03308005742062865,4.05044752973931,.9218703711456867,96.69550827455409,1.229135182452666,1.313237000240775,1.43324983637793,2434,1,63,,,22.6
"510529 (2012 EY11)",1.148281138591124,.1507736338618771,9.02025530531979,167.6065726492411,238.8947513669939,.9751506186306865,1.321411658551561,1.23049697149598,5902,0,104,,,21.7
"518810 (2010 CF19)",1.192939034624743,.2699883563619085,7.176856496530672,154.7342042307945,265.27354571915,.8708593854264464,1.515018683823039,1.30297348046135,3020,0,182,0,1,21.7
"528859 (2009 CR5)",1.075862569255863,.2624366266361568,5.05222252730556,316.7491675852812,321.3307712667554,.7935168258562459,1.358208312655481,1.11594656409036,3910,0,70,,,22.1
"       (1993 KA)",1.25547487891061,.1975954368024753,6.047187701412643,235.7874140247035,342.061499474723,1.007398771817734,1.503550986003487,1.40676075176463,12,6,28,,,26.0
"       (1997 YM9)",1.095878038316487,.1039362168580291,7.843204724588121,94.7323769897461,51.73099210327619,.9819766208760735,1.209779455756901,1.14723275381332,3049,0,68,,,24.0
"       (1998 KY26)",1.232902161794972,.2018414040916403,1.481034423694906,84.36631790419247,209.3671431458093,.9840514583506564,1.481752865239288,1.36899267186386,11,3,215,2,2,25.5
"       (1999 CG9)",1.06195357369909,.06371221949120243,5.155012138311757,138.6044618537109,315.7874238770908,.9942941545221068,1.129612992876073,1.09437584406634,24,6,47,,,25.2
"       (1999 NW2)",1.115985945768379,.1086426232492138,8.679646189736676,289.5357699502968,52.97321604234894,.9947423051108478,1.237229586425911,1.17895245257031,7206,0,171,0,2,23.2
"       (1999 SF10)",1.278238509250205,.2529164700641444,1.209773873955764,25.88073950122799,27.95066960378287,.9549509375905889,1.601526080909821,1.44519366189713,4820,0,56,,,24.3
"       (1999 SH10)",1.097901610159192,.1305011891980376,9.589063576746373,178.5300791943646,118.9281674463615,.9546241444109773,1.241179075907407,1.15041182005578,5529,0,86,,,22.6
"       (2000 AE205)",1.164572161303776,.1376904807751257,4.459328146608383,271.6302372792509,150.3234381393331,1.004221660516532,1.32492266209102,1.25677579744136,7106,1,83,,,23.0
"       (2000 WG10)",1.163388464352934,.2052615234112507,6.307184209589551,49.70318048989463,74.04578638723227,.9245895758407755,1.402187352865093,1.25486016226646,4,8,38,,,23.4
"       (2001 AV43)",1.2836115293572,.2409209253902764,.201254820624673,20.50495535612751,51.31080531134744,.9743626518628353,1.592860406851565,1.45431544416713,4834,0,108,3,3,24.6
"       (2001 KW18)",1.242555851388185,.1578426396635407,7.219200372089201,61.82205802930728,181.4394992188677,1.046427555875696,1.438684146900675,1.38510303392864,5,8,24,,,26.0
"       (2001 KM20)",1.183954057073405,.2093144707897761,3.726577070201358,56.22334742940364,251.5926288937639,.9361353401776771,1.431772773969133,1.28828063111772,6732,0,89,,,23.6
"       (2001 QC34)",1.128327248464133,.1874719402027769,6.236078772413064,271.6395831961218,215.3790791977391,.916797550010901,1.339856946917364,1.19856286159394,6651,0,517,,,20.1
"       (2001 QE71)",1.077926007248449,.1586418355190039,3.034982817902854,148.4108366651285,96.34393589691632,.906921846904884,1.248930167592014,1.11915857790214,25,6,70,,,24.4
"       (2001 QJ142)",1.06209006182491,.08618672694824445,3.103742789338156,184.3849685562438,63.96690587689485,.9705519956719624,1.153628127977858,1.09458683366739,4112,0,93,,,23.7
"       (2001 VE2)",1.105698221860848,.1810883406918349,4.392072426268338,47.0954427519366,73.90085822098301,.9054691655581552,1.305927278163542,1.16268780953733,7,7,70,,,25.0
"       (2001 WJ4)",1.255860222290285,.2166122038961374,7.906107040629525,57.17121445346616,18.72133783939432,.9838255717544937,1.527894872826077,1.40740846787403,1,6,28,,,27.4
"       (2002 AL31)",1.176713587218932,.2475357434269611,7.611677879076689,297.6899813399162,247.1044353202394,.8854349146060877,1.467992259831777,1.27648099901603,8,7,57,,,24.5
"       (2002 BF25)",1.073312188532075,.2217966228583412,6.275069714062544,305.9137469366661,78.0450394031521,.8352551698429653,1.311369207221184,1.11198081420075,3658,0,103,2,0,22.2
"       (2002 FB)",1.205197561841639,.1864465603314563,7.036443377090118,355.7148350134659,143.383739108381,.9804926219164077,1.429902501766871,1.32310883331406,2,7,23,,,26.6
"       (2002 GR)",1.201319561272568,.2074236294710076,7.326931388959215,183.7952032360748,313.75036854428,.9521374977188931,1.450501624826242,1.31672786242881,48,6,63,,,23.2
"       (2002 TS69)",1.176398819982571,.1302020513981999,8.453631462707929,200.6476625936321,195.4924476824363,1.023229280358419,1.329568359606724,1.27596885120478,5067,0,58,0,1,24.4
"       (2002 VU114)",1.180719010292817,.2857254028192477,2.77626150660032,352.8303708765674,151.1754568473188,.8433575954605582,1.518080425125075,1.28300407517076,3297,0,54,,,22.8
"       (2003 BN4)",1.269480928522922,.1709398717905699,5.590142942861327,307.5831916389159,193.2669672288641,1.052476021360641,1.486485835685204,1.43036697217205,3710,0,101,,,24.0
"       (2003 BS35)",1.255005313075666,.2066516997430353,8.481792101202615,127.4495668379655,27.11517399195672,.9956563319420396,1.514354294209293,1.40597160214226,11,8,13,,,24.7
"       (2003 EZ16)",1.175134612148041,.1392927994738953,5.80537692313563,341.8939810490346,71.60822994857386,1.01144682226327,1.338822402032812,1.27391258889859,5123,0,107,,,22.6
"       (2003 JX2)",1.115887544618041,.2438761055891727,9.688565565650654,219.3535085304025,276.2266738653034,.8437492359611289,1.388025853274953,1.17879652625154,2,8,31,,,26.4
