full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"  1566 Icarus (1949 MA)",1.078094607698457,.8269277670337161,22.82649436607058,88.00472388247528,31.38082134441564,.1865882411032819,1.969600974293633,1.11942116274113,25593,0,1008,10,13,16.9
"  1620 Geographos (1951 RA)",1.245302338514911,.3354405167939606,13.33734797459472,337.1954001957178,276.9150350010502,.8275774785187414,1.66302719851108,1.38969792076482,24901,0,4445,3,4,15.60
"  1865 Cerberus (1971 UA)",1.080048254546599,.4668656075733926,16.09631000067811,212.9252351561047,325.2556216549823,.5758108699791188,1.584285639114079,1.12246534467893,17538,0,1730,,,16.84
"  2063 Bacchus (1977 HB)",1.077885293910466,.3494748565654725,9.432249015069809,33.09691835845279,55.32942781051586,.7011914854270739,1.454579102393859,1.11909517245842,14282,0,678,7,5,17.3
"  2102 Tantalus (1975 YA)",1.290099740994854,.2991815079733013,64.00690033055149,94.36244665226748,61.53939825308012,.9041257550480484,1.676073726941661,1.46535595754327,16015,0,1104,1,0,16.0
"  3200 Phaethon (1983 TB)",1.271372810515883,.8898976614653178,22.26024404856695,265.2162359606943,322.1855106119202,.1399811195872101,2.402764501444556,1.43356563401855,13128,0,4245,8,0,14.6
"  3361 Orpheus (1982 HR)",1.209662179045708,.3227518287938224,2.685064208145241,189.5305495453812,301.6952073346065,.8192414985359853,1.60008285955543,1.33046776185491,13173,0,870,,,19.03
"  4034 Vishnu (1986 PA)",1.059509941130633,.4439425780383143,11.17043812213602,158.0140749980857,296.6030781146797,.5891483664078772,1.529871515853389,1.09060066003109,10565,0,486,0,1,18.4
"  4544 Xanthus (1989 FB)",1.042099590416156,.2501436574111234,14.14525295451515,23.98874633360744,333.8424487406808,.7814249874828249,1.302774193349487,1.06382952676652,7629,0,814,0,1,17.1
"  4769 Castalia (1989 PB)",1.063164596280573,.4832834455350216,8.884337630608792,325.5541295215505,121.3803301994087,.5493547470192476,1.576974445541899,1.09624837172483,9817,0,313,8,7,16.9
"  5693 (1993 EA)",1.270962551624577,.5851095412508911,5.0546412914118,97.03601729182273,258.8929481911889,.527310236096459,2.014614867152696,1.43287179473621,13080,0,1639,,,16.6
"  5786 Talos (1991 RC)",1.081515617646488,.8267510617898237,23.22455791907474,161.3040865993928,8.356863218639777,.1873714324149771,1.975659802877999,1.124753608453,10279,0,917,,,17.1
"  6037 (1988 EG)",1.271227395147681,.4998083542239619,3.499233078920807,182.4592794469376,242.1287508479092,.6358573229345043,1.906597467360857,1.4333196913904,11016,0,430,4,4,18.7
"  6239 Minos (1989 QF)",1.151361173138676,.4127379590649852,3.942457750392446,344.5935093457151,239.70458542575,.676150712390752,1.6265716338866,1.23545113304453,12039,0,884,3,0,18.5
"  7822 (1991 CS)",1.122893540915186,.1646986211078396,37.11994329760697,156.8574635179829,249.4391246076157,.9379545230755553,1.307832558754817,1.18991537965383,9368,0,1211,0,4,17.4
"  7889 (1994 LX)",1.261413272900025,.3462932993717291,36.90898365332638,111.2786554469458,349.1392268454754,.8245943087561839,1.698232237043866,1.41675350881878,15399,0,1843,2,2,15.2
" 10115 (1992 SK)",1.248441187798431,.3248242779241516,15.32072681724941,8.918220661526295,233.6493144037156,.8429171804410351,1.653965195155826,1.39495543903473,24129,0,970,10,7,17.0
" 10165 (1995 BL2)",1.23469487072075,.5037713639419696,23.89566894391062,312.4408481985741,348.4309414495629,.6126909516456037,1.856698789795896,1.37197964525914,9814,0,617,,,17.3
" 10302 (1989 ML)",1.272145430880482,.1364302341023542,4.378156337686101,104.3413174392599,183.3623378591847,1.098586331933218,1.445704529827747,1.43487261130792,10928,0,516,,,19.3
" 11500 Tomaiyowit (1989 UR)",1.079645465476707,.3557227728160029,10.3105120908242,234.4360318699576,289.4439101526445,.6955909868391086,1.463699944114305,1.12183749131918,10889,0,1199,0,1,18.3
" 12711 Tukmit (1991 BB)",1.186350065303271,.2722035848617096,38.48805828704984,294.9810872209665,322.8867596854607,.8634213246267969,1.509278805979744,1.29219331522542,10254,0,1287,0,3,15.8
" 17511 (1992 QN)",1.190022133680828,.3588351609921182,9.58245447798692,355.9284864826145,202.3654930916103,.7630003497572839,1.617043917604371,1.29819747736094,9656,0,1550,0,1,17.2
" 21374 (1997 WS22)",1.269394691642141,.1205317810421956,23.98193942988599,59.218268520422,197.199168252973,1.116392288613006,1.422397094671277,1.43022122564474,15826,0,919,1,0,17.4
" 22099 (2000 EX106)",1.104406228455273,.276235990385923,9.844872814759313,136.4583528029109,186.5700414416669,.7993294801495486,1.409482976760997,1.16065052751032,8438,0,809,,,17.9
" 22753 (1998 WT)",1.218978454193388,.5699219539357998,3.204093924402609,307.4104733068477,324.7530619917202,.5242558717738516,1.913701036612925,1.34586731547016,23057,0,907,6,2,17.7
" 35107 (1991 VH)",1.137453251318185,.1442544526161386,13.91042631254956,139.3565098365397,206.9420793763692,.973370555172833,1.301535947463537,1.21313333583868,10222,0,2871,3,0,16.7
" 52381 (1993 HA)",1.278229728531717,.1441096835693323,7.725001748210609,183.2816506657367,263.8294843056429,1.094024446824098,1.462435010239337,1.44517877052496,9540,0,369,,,20.0
" 52387 Huitzilopochtli (1993 OM7)",1.282132855921263,.1896120870781893,24.15191891967638,297.5896325095099,195.5081429672571,1.039024969198513,1.525240742644013,1.45180319088658,9498,0,708,2,1,17.8
" 55408 (2001 TC2)",1.099828144271222,.2245173421264138,30.38955727654417,193.8420806118743,353.5253005874785,.8528976525236212,1.346758636018823,1.15344116199076,14180,0,257,,,18.7
" 65733 (1993 PC)",1.153736796304915,.4740690854649637,4.154094550729586,337.1020302772362,168.4771588753977,.6067858484133666,1.700687744196463,1.2392767958629,9885,0,697,,,18.4
" 65909 (1998 FH12)",1.091156155229628,.5396870004314575,3.559907321807489,108.6158158586133,284.4901857999725,.5022733628114281,1.680038947647827,1.1398260087702,6234,0,300,8,2,19.2
" 66407 (1999 LQ28)",1.198428369320335,.1200228673758728,21.77221635511806,95.00096097190045,320.5548472992,1.054589560089917,1.342267178550754,1.31197730933282,12396,0,288,,,18.9
" 68950 (2002 QF15)",1.056813766968148,.3442376954493172,25.15542755076045,236.236754048782,255.4997654586061,.6930186313079209,1.420608902628375,1.08644037175245,23435,0,2689,12,1,16.4
" 85236 (1993 KH)",1.234011307971424,.3111112526193335,12.80520894904452,54.39671056140531,293.8441192755001,.8500965042020123,1.617926111740836,1.37084045161839,9660,0,493,,,18.6
" 85585 Mjolnir (1998 FG2)",1.297590060637599,.3562982972718732,4.082434966446439,2.348048962158513,95.36454946088905,.8352609314755156,1.759919189799682,1.47813624935646,2039,0,196,,,21.6
" 87024 (2000 JS66)",1.196548586555274,.1897244736660951,14.43409175808975,230.550933648044,84.92536502677881,.9695340357551644,1.423563137355383,1.30889168688546,14275,0,1025,1,0,18.7
