full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"225312 (1996 XB27)",1.188882993664954,.05789328371725624,2.464530210036531,179.4124167024594,58.18179933622402,1.120054653206088,1.25771133412382,1.29633388840262,8030,0,203,,,21.7
"459872 (2014 EK24)",1.008133650551382,.07012101294077555,4.804898913090303,340.5876922231679,63.74735479163394,.9374422977950375,1.078825003307727,1.01224436838167,1415,0,591,,,23.3
"       (1991 VG)",1.032311564018629,.05253497902788531,1.429908754233189,71.26699416761866,26.83638458890033,.9780790976526665,1.086544030384591,1.0488765860299,9339,0,70,,,28.3
"       (2001 QJ142)",1.06209006182491,.08618672694824445,3.103742789338156,184.3849685562438,63.96690587689485,.9705519956719624,1.153628127977858,1.09458683366739,4112,0,93,,,23.7
"       (2003 SM84)",1.125361187341484,.08194736930020113,2.795554717366854,186.6771806491323,87.37360784618225,1.033140798526298,1.217581576156669,1.19383993205189,4459,1,100,,,22.7
"       (2006 BZ147)",1.023396872595932,.09857049403460327,1.409942761998376,139.8289596343346,94.83624759674511,.9225201372706828,1.124273607921181,1.03531934874929,587,3,62,,,25.4
"       (2006 JY26)",1.010279669477205,.08308918686958262,1.43882896351189,43.46553309601745,273.648061360634,.9263363532294735,1.094222985724937,1.0154782419932,4,3,76,,,28.4
"       (2006 RH120)",1.001861500795959,.03512856067573183,1.087731030061968,292.7942227365448,226.7806660740718,.9666675482765682,1.03705545331535,1.00281248958432,281,1,131,0,3,29.5
"       (2007 TF15)",1.108845749770639,.04478812935240784,4.253254278006285,193.1249014855852,28.85937633535494,1.059182622898043,1.158508876643234,1.16765597636473,2566,2,60,,,24.6
"       (2007 UN12)",1.053855635820783,.06047384216669926,.235721231490033,215.9941032463691,134.4677207092961,.9901249364336708,1.117586335207896,1.08188197671072,25,5,120,,,28.7
"       (2008 BT2)",1.173145705784291,.08065146974589225,3.074579323532249,333.6222694759216,201.8295306666622,1.078529780386706,1.267761631181876,1.2706798267169,51,5,30,,,24.3
"       (2008 HU4)",1.071458615789928,.05558000867096335,1.391343679882073,215.2983764850621,350.5727465564128,1.011906936633745,1.13101029494611,1.1091015300354,2919,0,76,,,28.3
"       (2008 KT)",1.011086799641732,.08483050943668168,1.984301329070998,240.5992416974522,102.1840084409399,.9253157913434195,1.096857807940044,1.01669541010962,5,5,30,,,28.2
"       (2009 BD)",1.009762522530082,.04163118147019331,.3844794522868474,58.12755332687887,109.8709551697141,.9677249157128321,1.051800129347332,1.01469862975528,885,1,180,,,28.1
"       (2009 OS5)",1.144264041727381,.09677830801278517,1.695244939404055,145.3601750881647,120.8520483577765,1.033524103849134,1.255003979605628,1.22404554633711,1976,1,69,,,24.5
"       (2010 UE51)",1.055169696877876,.05971763478185103,.6239184692797997,32.29914213865025,47.24827404799916,.9921574582868465,1.118181935468905,1.08390611835271,93,2,177,,,28.3
"       (2010 VQ98)",1.023131869422113,.02712823511026654,1.475406905974722,46.17068497641107,341.725809324305,.9953761075196235,1.050887631324603,1.03491723912979,29,4,49,,,28.2
"       (2011 AA37)",1.095859465657055,.01678920060988707,3.817247697524332,275.7098968376217,131.5060154289436,1.077460861247895,1.114258070066215,1.14720358942795,2919,0,133,,,22.8
"       (2011 MD)",1.059569367479931,.04105952204965695,2.562405187085439,273.9597202527767,4.674810078016545,1.016063955672748,1.103074779287115,1.09069241659045,967,2,528,,,28.0
"       (2012 BB14)",1.06443440744061,.09938064926020045,2.644906205384716,316.9139561187138,255.0219762810774,.9586502249342655,1.170218589946955,1.09821294614881,211,4,35,,,25.0
"       (2012 LA)",1.039783885898898,.0232278458280652,3.121241111108061,235.0493162306067,76.8760318797804,1.015631946102732,1.063935825695065,1.06028550979422,179,2,103,,,27.6
"       (2012 PB20)",1.054122838219893,.09484579799782561,5.838745992272556,142.9085046246184,49.99582864154874,.9541437164411942,1.154101959998592,1.0822934654001,57,4,46,,,24.9
"       (2012 TF79)",1.049831633317319,.03821918478139921,1.005385154359433,199.8881791069986,265.6464542293713,1.009707924134206,1.089955342500432,1.07569136979009,29,5,59,,,27.4
"       (2013 GH66)",1.051128898424203,.04456181674644455,3.446348930161328,198.6186588458447,35.98645687045249,1.004288685075731,1.097969111772674,1.07768581513877,27,3,46,,,28.0
"       (2013 PA7)",1.153947914460591,.08773048857484442,3.471961315318031,341.3364050639863,93.27797350486804,1.052711500135041,1.255184328786142,1.23961696764321,1984,0,135,,,22.6
"       (2013 RZ53)",1.016429605128442,.02839175558734573,2.108502178299091,343.4835942386783,64.64645446181308,.9875713842078931,1.045287826048991,1.0247647106221,3,3,27,,,31.1
"       (2013 WA44)",1.100459701828043,.06047509775114756,2.302204408794018,56.51290815237222,176.7310506584084,1.033909293788793,1.167010109867292,1.15443482048151,92,3,66,,,23.7
"       (2014 KF39)",1.041738681168833,.07911467613239027,3.64163409537315,235.6677836221201,95.40515173650356,.9593218627935771,1.124155499544088,1.06327692218942,242,3,53,,,25.3
"       (2014 QN266)",1.052651391740503,.09229965144072018,.4882733457950982,171.1095152669074,61.58990826466944,.9554920351942653,1.14981074828674,1.08002810177069,73,3,82,,,26.3
"       (2014 WU200)",1.027961095109958,.07143795127274824,1.266416766970078,265.6971666286902,226.4818707920651,.9545256604872115,1.101396529732704,1.04225315830434,18,3,51,0,1,29.1
"       (2014 WX202)",1.035641027728908,.05881478988586739,.4126961612694443,244.0111780772693,214.0151807810415,.9747300182858485,1.096552037171967,1.05395501042551,14,2,44,0,1,29.6
