full_name,a,e,i,om,w,ma,condition_code,H,epoch
"225312 (1996 XB27)",1.188882993664954,.05789328371725624,2.464530210036531,179.4124167024594,58.18179933622402,291.6601010602586,0,21.7,2458600.5
"459872 (2014 EK24)",1.008133650551382,.07012101294077555,4.804898913090303,340.5876922231679,63.74735479163394,151.8276026497966,0,23.3,2458600.5
"       (1991 VG)",1.032311564018629,.05253497902788531,1.429908754233189,71.26699416761866,26.83638458890033,91.18870236518256,0,28.3,2458600.5
"       (2001 QJ142)",1.06209006182491,.08618672694824445,3.103742789338156,184.3849685562438,63.96690587689485,126.4173428959396,0,23.7,2458600.5
"       (2003 SM84)",1.125361187341484,.08194736930020113,2.795554717366854,186.6771806491323,87.37360784618225,97.68119106804461,1,22.7,2458600.5
"       (2006 BZ147)",1.023396872595932,.09857049403460327,1.409942761998376,139.8289596343346,94.83624759674511,188.0723336459331,3,25.4,2458600.5
"       (2006 JY26)",1.010279669477205,.08308918686958262,1.43882896351189,43.46553309601745,273.648061360634,199.4235484124133,3,28.4,2458600.5
"       (2006 RH120)",1.001861500795959,.03512856067573183,1.087731030061968,292.7942227365448,226.7806660740718,307.8249579420948,1,29.5,2454105.5
"       (2007 TF15)",1.108845749770639,.04478812935240784,4.253254278006285,193.1249014855852,28.85937633535494,110.3532798709986,2,24.6,2458600.5
"       (2007 UN12)",1.053855635820783,.06047384216669926,.235721231490033,215.9941032463691,134.4677207092961,264.8705459721934,5,28.7,2458600.5
"       (2008 BT2)",1.173145705784291,.08065146974589225,3.074579323532249,333.6222694759216,201.8295306666622,261.8527585914764,5,24.3,2458600.5
"       (2008 HU4)",1.071458615789928,.05558000867096335,1.391343679882073,215.2983764850621,350.5727465564128,263.8863174150054,0,28.3,2458600.5
"       (2008 KT)",1.011086799641732,.08483050943668168,1.984301329070998,240.5992416974522,102.1840084409399,174.4491402656014,5,28.2,2458600.5
"       (2009 BD)",1.009762522530082,.04163118147019331,.3844794522868474,58.12755332687887,109.8709551697141,349.7265315315627,1,28.1,2455256.5
"       (2009 OS5)",1.144264041727381,.09677830801278517,1.695244939404055,145.3601750881647,120.8520483577765,21.89349301164324,1,24.5,2458600.5
"       (2010 UE51)",1.055169696877876,.05971763478185103,.6239184692797997,32.29914213865025,47.24827404799916,261.6892479511696,2,28.3,2458600.5
"       (2010 VQ98)",1.023131869422113,.02712823511026654,1.475406905974722,46.17068497641107,341.725809324305,82.12625070592581,4,28.2,2458600.5
"       (2011 AA37)",1.095859465657055,.01678920060988707,3.817247697524332,275.7098968376217,131.5060154289436,145.6970136258962,0,22.8,2458600.5
"       (2011 MD)",1.059569367479931,.04105952204965695,2.562405187085439,273.9597202527767,4.674810078016545,11.05080146327758,2,28.0,2455755.5
"       (2012 BB14)",1.06443440744061,.09938064926020045,2.644906205384716,316.9139561187138,255.0219762810774,139.9238493286582,4,25.0,2458600.5
"       (2012 LA)",1.039783885898898,.0232278458280652,3.121241111108061,235.0493162306067,76.8760318797804,18.20726251830458,2,27.6,2456162.5
"       (2012 PB20)",1.054122838219893,.09484579799782561,5.838745992272556,142.9085046246184,49.99582864154874,189.9811402591762,4,24.9,2458600.5
"       (2012 TF79)",1.049831633317319,.03821918478139921,1.005385154359433,199.8881791069986,265.6464542293713,305.6821690546839,5,27.4,2458600.5
"       (2013 GH66)",1.051128898424203,.04456181674644455,3.446348930161328,198.6186588458447,35.98645687045249,187.4715069720117,3,28.0,2458600.5
"       (2013 PA7)",1.153947914460591,.08773048857484442,3.471961315318031,341.3364050639863,93.27797350486804,111.3009034365818,0,22.6,2458600.5
"       (2013 RZ53)",1.016429605128442,.02839175558734573,2.108502178299091,343.4835942386783,64.64645446181308,131.0071510515851,3,31.1,2458600.5
"       (2013 WA44)",1.100459701828043,.06047509775114756,2.302204408794018,56.51290815237222,176.7310506584084,84.13196889749089,3,23.7,2458600.5
"       (2014 KF39)",1.041738681168833,.07911467613239027,3.64163409537315,235.6677836221201,95.40515173650356,144.5016088126044,3,25.3,2458600.5
"       (2014 QN266)",1.052651391740503,.09229965144072018,.4882733457950982,171.1095152669074,61.58990826466944,206.2453849665579,3,26.3,2458600.5
"       (2014 WU200)",1.027961095109958,.07143795127274824,1.266416766970078,265.6971666286902,226.4818707920651,24.93039950820088,3,29.1,2458600.5
"       (2014 WX202)",1.035641027728908,.05881478988586739,.4126961612694443,244.0111780772693,214.0151807810415,37.72532058128699,2,29.6,2458600.5
"       (2014 WA366)",1.034315424839092,.07151352305719126,1.559078407110499,67.10252485393416,287.6097712463553,134.1944780081024,4,26.9,2458600.5
"       (2014 YD)",1.072141416093554,.08662000020035054,1.735735618778509,117.6400571516317,34.11615298813461,278.141622013449,3,24.3,2458600.5
"       (2015 DU)",1.101744736763827,.08749719963428305,2.749102914176414,341.7678896128488,155.6340033101292,232.9278680416985,3,26.6,2458600.5
"       (2015 JD3)",1.058484470837109,.007854458134977538,2.718573455539885,43.64542183297925,60.04307929577921,356.1339604442811,4,25.5,2458600.5
"       (2015 KK57)",1.091732991523386,.06365970764545405,1.0317824699769,194.4243738030237,100.0885307107504,112.927438862529,3,27.5,2458600.5
"       (2015 MC54)",1.11697368769844,.06778988531521896,3.018678906970365,254.5404397913552,.3775493637087685,105.8062167862086,5,26.8,2458600.5
"       (2015 PS228)",1.056759956285057,.08393564807465763,.438935116512822,272.8132717438844,327.4753130074583,217.4559650856634,5,28.8,2458600.5
"       (2015 VC2)",1.053099750601892,.07437491199834094,.8677401977330946,186.1780739304855,288.1835335133012,12.18983537068886,1,27.4,2458600.5
