full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"225312 (1996 XB27)",1.188882993664954,.05789328371725624,2.464530210036531,179.4124167024594,58.18179933622402,1.120054653206088,1.25771133412382,1.29633388840262,8030,0,203,,,21.7
"459872 (2014 EK24)",1.008133650551382,.07012101294077555,4.804898913090303,340.5876922231679,63.74735479163394,.9374422977950375,1.078825003307727,1.01224436838167,1415,0,591,,,23.3
"       (1991 VG)",1.032311564018629,.05253497902788531,1.429908754233189,71.26699416761866,26.83638458890033,.9780790976526665,1.086544030384591,1.0488765860299,9339,0,70,,,28.3
"       (1999 CG9)",1.06195357369909,.06371221949120243,5.155012138311757,138.6044618537109,315.7874238770908,.9942941545221068,1.129612992876073,1.09437584406634,24,6,47,,,25.2
"       (2001 GP2)",1.037525820633546,.07391030666539525,1.278380494689601,196.7987692218996,111.4728461625753,.9608419690572552,1.114209672209838,1.05683350366949,27,6,25,,,26.9
"       (2001 QJ142)",1.06209006182491,.08618672694824445,3.103742789338156,184.3849685562438,63.96690587689485,.9705519956719624,1.153628127977858,1.09458683366739,4112,0,93,,,23.7
"       (2003 SM84)",1.125361187341484,.08194736930020113,2.795554717366854,186.6771806491323,87.37360784618225,1.033140798526298,1.217581576156669,1.19383993205189,4459,1,100,,,22.7
"       (2006 BZ147)",1.023396872595932,.09857049403460327,1.409942761998376,139.8289596343346,94.83624759674511,.9225201372706828,1.124273607921181,1.03531934874929,587,3,62,,,25.4
"       (2006 JY26)",1.010279669477205,.08308918686958262,1.43882896351189,43.46553309601745,273.648061360634,.9263363532294735,1.094222985724937,1.0154782419932,4,3,76,,,28.4
"       (2006 RH120)",1.001861500795959,.03512856067573183,1.087731030061968,292.7942227365448,226.7806660740718,.9666675482765682,1.03705545331535,1.00281248958432,281,1,131,0,3,29.5
"       (2007 TF15)",1.108845749770639,.04478812935240784,4.253254278006285,193.1249014855852,28.85937633535494,1.059182622898043,1.158508876643234,1.16765597636473,2566,2,60,,,24.6
